timestep,consumption_eur
2008-09-12,79686.54166666667
2008-09-13,75816.45833333333
2008-09-14,74438.66666666667
2008-09-15,81018.91666666667
2008-09-16,82512.5
2008-09-17,83858.20833333333
2008-09-18,84596.79166666667
2008-09-19,85045.04166666667
2008-09-20,80109.875
2008-09-21,77889.0
2008-09-22,84691.83333333333
2008-09-23,85055.95833333333
2008-09-24,85398.375
2008-09-25,85085.54166666667
2008-09-26,84975.75
2008-09-27,80073.70833333333
2008-09-28,79092.16666666667
2008-09-29,84816.625
2008-09-30,85337.5
2008-10-01,85620.95833333333
2008-10-02,85409.29166666667
2008-10-03,85128.91666666667
2008-10-04,80213.95833333333
2008-10-05,78685.875
2008-10-06,84453.04166666667
2008-10-07,83699.625
2008-10-08,83820.0
2008-10-09,84338.83333333333
2008-10-10,84848.625
2008-10-11,81098.54166666667
2008-10-12,79607.79166666667
2008-10-13,85503.0
2008-10-14,85845.33333333333
2008-10-15,86236.83333333333
2008-10-16,86114.79166666667
2008-10-17,85833.83333333333
2008-10-18,81743.58333333333
2008-10-19,80370.5
2008-10-20,86377.08333333333
2008-10-21,86379.29166666667
2008-10-22,86231.33333333333
2008-10-23,85862.79166666667
2008-10-24,85527.45833333333
2008-10-25,81760.20833333333
2008-10-26,80499.375
2008-10-27,86006.95833333333
2008-10-28,86859.04166666667
2008-10-29,87001.83333333333
2008-10-30,86333.16666666667
2008-10-31,86191.25
2008-11-01,83713.16666666667
2008-11-02,79786.91666666667
2008-11-03,79043.625
2008-11-04,79495.58333333333
2008-11-05,85946.41666666667
2008-11-06,85961.875
2008-11-07,86251.875
2008-11-08,82180.33333333333
2008-11-09,80617.5
2008-11-10,87029.45833333333
2008-11-11,87742.58333333333
2008-11-12,88024.08333333333
2008-11-13,87959.75
2008-11-14,88099.70833333333
2008-11-15,84039.95833333333
2008-11-16,82749.66666666667
2008-11-17,88755.375
2008-11-18,88792.08333333333
2008-11-19,89328.625
2008-11-20,89385.45833333333
2008-11-21,89968.16666666667
2008-11-22,84750.125
2008-11-23,82835.75
2008-11-24,88986.75
2008-11-25,89287.375
2008-11-26,90060.54166666667
2008-11-27,90154.16666666667
2008-11-28,89724.625
2008-11-29,84738.16666666667
2008-11-30,82760.79166666667
2008-12-01,90020.75
2008-12-02,89424.75
2008-12-03,89600.83333333333
2008-12-04,89021.75
2008-12-05,88312.625
2008-12-06,83487.16666666667
2008-12-07,82121.625
2008-12-08,87646.625
2008-12-09,88213.66666666667
2008-12-10,88583.75
2008-12-11,89087.08333333333
2008-12-12,89365.95833333333
2008-12-13,84824.33333333333
2008-12-14,84225.79166666667
